# eslint-seatbelt temporarily allowed errors
# docs: https://github.com/justjake/eslint-seatbelt#readme

"src/connector/SpectodaSimulatedConnector.ts"	"@typescript-eslint/no-unused-vars"	17
"src/connector/SpectodaSimulatedConnector.ts"	"import/no-cycle"	1
"src/connector/SpectodaSimulatedConnector.ts"	"import/no-extraneous-dependencies"	1
"src/connector/SpectodaSimulatedConnector.ts"	"no-magic-numbers"	23
"src/connector/SpectodaWebBluetoothConnector.ts"	"@typescript-eslint/no-empty-function"	2
"src/connector/SpectodaWebBluetoothConnector.ts"	"@typescript-eslint/no-unused-vars"	5
"src/connector/SpectodaWebBluetoothConnector.ts"	"import/no-cycle"	1
"src/connector/SpectodaWebBluetoothConnector.ts"	"import/no-extraneous-dependencies"	1
"src/connector/SpectodaWebBluetoothConnector.ts"	"no-magic-numbers"	49
"src/connector/SpectodaWebBluetoothConnector.ts"	"no-undef"	14
"src/connector/SpectodaWebSerialConnector.ts"	"import/no-extraneous-dependencies"	1
"src/constants/commandFlags.ts"	"import/no-extraneous-dependencies"	1
"src/constants/index.ts"	"import/no-cycle"	1
"src/constants/index.ts"	"import/no-extraneous-dependencies"	1
"src/constants/limits.ts"	"import/no-extraneous-dependencies"	1
"src/constants/values.ts"	"import/no-extraneous-dependencies"	1
"src/schemas/criteria.ts"	"import/no-cycle"	1
"src/schemas/criteria.ts"	"import/no-extraneous-dependencies"	2
"src/schemas/event.ts"	"import/no-extraneous-dependencies"	2
"src/schemas/primitives.ts"	"import/no-cycle"	1
"src/schemas/primitives.ts"	"import/no-extraneous-dependencies"	2
"src/types/app-events.ts"	"import/no-extraneous-dependencies"	1
"src/types/connect.ts"	"import/no-extraneous-dependencies"	1
"src/types/event.ts"	"import/no-extraneous-dependencies"	2
"src/types/messages.ts"	"import/no-extraneous-dependencies"	1
"src/types/primitives.ts"	"import/no-cycle"	2
"src/types/primitives.ts"	"import/no-extraneous-dependencies"	2
"src/types/spectodaClass.ts"	"import/no-cycle"	1
"src/types/spectodaClass.ts"	"import/no-extraneous-dependencies"	1
"src/types/wasm.ts"	"@typescript-eslint/ban-types"	2
"src/types/wasm.ts"	"import/no-extraneous-dependencies"	1
"src/types/wasm.ts"	"no-magic-numbers"	16
"tnglapi.js"	"import/no-extraneous-dependencies"	1
"types.d.ts"	"@typescript-eslint/consistent-type-definitions"	1
"types.d.ts"	"import/no-extraneous-dependencies"	2
